FIPS,State,County,PCT_DIABETES_ADULTS15,PCT_OBESE_ADULTS13,PCT_LACCESS_POP15,PCT_LACCESS_LOWI15,PCT_LACCESS_SNAP15,GROCPTH15,FFRPTH15
45081,SC,Saluda,13,35.6,9.912682683,4.826395317,1.618423631,0.099870169,0.249675422
21061,KY,Edmonson,16.1,31.2,2.522694931,1.183612451,0.77440208,0.166486307,0.24972946
20139,KS,Osage,11.5,37.1,12.52107617,4.846535939,0.994751465,0.125502008,0.251004016
46045,SD,Edmunds,9,29.1,63.66041813,18.14845348,4.03298854,0.50213407,0.251067035
27065,MN,Kanabec,10.2,29.9,7.292751144,2.519597736,0.725480372,0.062774639,0.251098556
31029,NE,Chase,10.2,30.6,29.42085528,11.91626848,2.03009321,0.754147813,0.251382604
37093,NC,Hoke,12.2,34.7,21.11900657,8.54243578,3.479922939,0.116254287,0.251884288
19097,IA,Jackson,11.7,33.1,22.92096321,6.971373934,1.997187447,0.153988297,0.256647161
51063,VA,Floyd,9.5,26.5,27.54180543,10.30718082,3.225381823,0.192579278,0.256772371
40093,OK,Major,11.6,31.6,18.05677614,4.941285591,1.097209707,0.387096774,0.258064516
16003,ID,Adams,11.6,27.6,10.669243,5.034363691,0.778661079,0.259000259,0.259000259
02188,AK,Northwest Arctic,6.5,32.4,57.45132179,34.05510868,23.92145088,0.907088247,0.25916807
48275,TX,Knox,11.2,26.6,47.13617241,21.05708086,8.144657286,0.518403318,0.259201659
30043,MT,Jefferson,8.6,27.5,11.73828826,2.549468658,0.980895167,0.259560478,0.259560478
22125,LA,West Feliciana,12.2,34.5,42.08798124,19.56203073,2.076054705,0.194729326,0.259639102
46093,SD,Meade,8.4,27,33.93761055,9.287742673,2.001202679,0.185521873,0.259730622
37033,NC,Caswell,13.2,36,7.822722365,3.29883961,1.544172211,0.0433238,0.259942813
21063,KY,Elliott,13.2,33.7,0.057716354,0.025781268,0.020704025,0.130344108,0.260688217
53019,WA,Ferry,10.7,28.1,48.59343809,26.12197987,10.77083711,0.521716447,0.260858224
